Modulation/Waveform,,A1,A2,A3,A4,A5,A6,A7,A8
,,Outer/Inner,Outer/Inner,Outer/Inner,Outer/Inner,Outer/Inner,Outer/Inner,Outer/Inner,Outer/Inner
DFT-s-OFDM,PI/2 BPSK,2,5.5,5.5,13,7,11.5,4.5,9.5
,QPSK,3,6,6,13,7.5,12,5,10
,16 QAM,3.5,6.5,6.5,13.5,7.5,12.5,5.5,10.5
,64 QAM,4,7,6.5,14,8,13,5.5,10.5
,256 QAM,4,7,7,14.5,8,13,6,11
CP-OFDM,QPSK,4.5,8,7.5,15,9,13.5,6.5,11
,16 QAM,4.5,8,7.5,15,9,13.5,6.5,11
,64 QAM,4.5,8,7.5,15,9,13.5,6.5,11
,256 QAM,4.5,8,7.5,15,9,13.5,6.5,11
