ΔfOOB(MHz),Channel bandwidth (MHz) / Spectrum emission limit (dBm),,,,,,,Measurement bandwidth
,5,10,15,20,25,30,35,
0-0.1,-15,-18,-20,-21,-22,-23,-23.5,30 kHz
0.1-6,-13,,,,,,,100 kHz
6-10,-25,,,,,,,1 MHz
6-CBW,,-13,,,,,,100 kHz
CBW-CBW+5,,-25,,,,,,1 MHz
