Modulation/Waveform,,A1,A2
,,Outer/Inner,Outer/Inner
DFT-s-OFDM,PI/2 BPSK,3,3.5
,QPSK,3.5,3.5
,16 QAM,4,4
,64 QAM,4.5,4.5
,256 QAM,5,5
CP-OFDM,QPSK,5,5
,16 QAM,5,5
,64 QAM,5,5
,256 QAM,6.5,6.5
