Modulation/Waveform,,A1 (dB),,A2 (dB),,A3 (dB),,A4 (dB),,A5 (dB),,A6 (dB)
,,Outer,Inner,Outer,Inner,Outer,Inner,Outer,Inner,Outer,Inner,Outer /Inner
DFT-s-OFDM,Pi/2 BPSK,,N/A,≤ 1.5,N/A,,,,N/A,,N/A,≤ 9
,QPSK,≤ 2,,,,,,≤ 2.5,,,,≤ 9
,16 QAM,,,,,,,,,≤ 2.5,,≤ 9
,64 QAM,,,,,≤ 2.5,,,,,,≤ 9
,256 QAM,,,,,,,,,,,≤ 9
CP-OFDM,QPSK,≤ 3.5,,,,,,,,≤ 4,,≤ 9
,16 QAM,≤ 3.5,,,,,,,,≤ 4,,≤ 9
,64 QAM,,,,,≤ 4,,,,,,≤ 9
,256 QAM,,,,,,,,,,,≤ 9
