NR UL CA Configuration,Class 1.5 (dBm),Tolerance (dB),Class 2 (dBm),Tolerance (dB),Class 3 (dBm),Tolerance (dB)
CA_n1A-n77A,,,26,+2/-3,23,+2/-3
CA_n1A-n78A,29,+2/-3,26,+2/-3,23,+2/-3
CA_n2A-n77A,29,+2/-3,26,+2/-3,23,+2/-3
CA_n3A-n77A,,,26,+2/-3,23,+2/-3
CA_n3A-n78A,29,+2/-3,26,+2/-3,23,+2/-3
CA_n5A-n77A,29,+2/-3,26,+2/-3,23,+2/-3
CA_n7A-n77A,29,+2/-3,26,+2/-3,23,+2/-3
CA_n7A-n78A,29,+2/-3,26,+2/-3,23,+2/-3
CA_n8A-n78A,,,26,+2/-3,23,+2/-3
CA_n25A-n41A,298,+2/-3,268,+2/-3,238,+2/-3
CA_n25A-n41C,298,+2/-3,268,+2/-3,238,+2/-3
CA_n25A-n77A,29,+2/-3,26,+2/-3,23,+2/-3
CA_n26A-n78A,29,+2/-3,26,+2/-3,23,+2/-3
CA_n28A-n41A,29,+2/-3,26,+2/-3,23,+2/-3
CA_n28A-n77A,,,26,+2/-3,23,+2/-3
CA_n28A-n78A,29,+2/-3,26,+2/-3,23,+2/-3
CA_n28A-n79A,29,+2/-3,26,+2/-3,23,+2/-3
CA_n41A-n66A,29,+2/-3,26,+2/-3,23,+2/-3
CA_n41C-n66A,29,+2/-3,26,+2/-3,23,+2/-3
CA_n41A-n71A,29,+2/-3,26,+2/-3,23,+2/-3
CA_n41C-n71A,29,+2/-3,26,+2/-3,23,+2/-3
CA_n41A-n77A,29,+2/-3,26,+2/-3,23,+2/-3
CA_n41C-n77A,29,+2/-3,26,+2/-3,23,+2/-3
CA_n41A-n79A,29,+2/-3,26,+2/-3,23,+2/-3
CA_n41A-n85A,29,+2/-3,26,+2/-3,23,+2/-3
CA_n66A-n77A,29,+2/-3,26,+2/-3,23,+2/-3
CA_n70A-n77A,29,+2/-3,26,+2/-3,23,+2/-3
CA_n71A-n77A,29,+2/-3,26,+2/-3,23,+2/-3
CA_n77A-n85A,29,+2/-3,26,+2/-3,23,+2/-3
"NOTE 1:An uplink CA configuration in which at least one of the bands has NOTE 3 in Table 6.2.1-1 is allowed to reduce the lower tolerance limit by 1.5 dB when the transmission bandwidths of at least one of the bands is confined within FUL_low and FUL_low + 4 MHz or FUL_high - 4 MHz and FUL_high.NOTE 2:The per band power class applicable to REFSENS exceptions is specified in Table 6.2H.3.1-2.NOTE 3:Void.NOTE 4:Void.NOTE 5:Power class 3 is default power class unless otherwise stated.NOTE 6:Void.NOTE 7:Void.NOTE 8: Additionally, 2Tx in each band for this band combination is enabled for FWA form factor.",,,,,,
