Network signalling label,Requirements (clause),NR Band,Channel bandwidth (MHz),Resources blocks (NRB),A-MPR (dB)
NS_UAV_44,6.5K.3.3.1,38,"25, 30, 40",Table 6.2K.3.2-1,Table 6.2K.3.2-2
NS_UAV_46,6.5K.3.3.2,7,"5, 10, 15, 20, 25, 30, 35, 40, 50",,N/A
NS_UAV_70,6.5K.3.3.3,3,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",Table 6.2K.3.3-1,Table 6.2K.3.3-2
