Channel BW,RBStart*12*SCS (MHz),LCRB*12*SCS (MHz),A-MPR
10MHz,≤0.18,<1.08,A1
,≥0,≥9,A2
,≥0,"≥8.1, <9",A4
15MHz,≤1.8,<1.8,A1
,≥0,≥9,A2
,≤1.8,"≥1.8, <3.6",A4
,≥0,"≥8.1, <9",A4
20MHz,≤3.42,<1.8,A3
,≥0,≥9,A2
,≤3.42,"≥1.8, <3.6",A4
,≥0,"≥8.1, <9",A4
