,,Outer/Inner,Outer/Inner,Outer/Inner,Outer/Inner,Outer/Inner,Outer/Inner
DFT-s-OFDM,PI/2 BPSK,≤12.5,≤8.5,≤5.0,≤3,≤6.5,≤3.0
,QPSK,≤12.5,≤8.5,≤5.0,≤4.0,≤6.5,≤3.0
,16 QAM,≤12.5,≤8.5,≤5.0,≤4.5,≤6.5,≤3.5
,64 QAM,≤12.5,≤8.5,≤5.0,≤4.5,≤6.5,≤3.5
,256 QAM,≤12.5,≤8.5,≤5.0,≤4.5,≤6.5,≤3.5
CP-OFDM,QPSK,≤13,≤9.5,≤6.5,≤6.0,≤6.5,≤4.5
,16 QAM,≤13,≤9.5,≤6.5,≤6.0,≤6.5,≤5
,64 QAM,≤13,≤9.5,≤6.5,≤6.5,≤6.5,≤5
,256 QAM,≤13,≤9.5,≤6.5,≤6.5,≤6.5,≤5
