Network Signalling value,Requirements (clause),NR Band,Channel bandwidth (MHz),Resources Blocks (NRB),A-MPR (dB)
NS_01,,Table 5.2E.1-1,"10, 20, 30, 40",Table 5.3.2-1,N/A
NS_06,6.5.2.3.4 (A-SEM),n14,"5, 10",Table 5.3.2-1,N/A
NS_33,6.5E.2.3.1 (A-SEM)6.5E.3.4 (A-SE),n47,10,Clause 6.2E.3.2,
NS_52,6.5E.2.3.2 (A-SEM),n47,40,Clause 6.2E.3.3,
