Frequency range(MHz),Channel bandwidth (MHz) /Spectrum emission limit(dBm),Measurement bandwidth
,30,
2530 ≤ f ≤ 2535,-25,1 MHz
2505 ≤ f ≤ 2530,-30,1 MHz
