Modulation/Waveform,A1,A2,A3,A4
,Outer/Inner,Outer,Outer/Inner,Outer/Inner
DFT-s-OFDM PI/2 BPSK,≤ 5,≤ 3.5,≤ 5,≤ 3
DFT-s-OFDM QPSK,≤ 5,≤ 4,≤ 5,≤ 3
DFT-s-OFDM 16 QAM,≤ 5,≤ 4,≤ 5,≤ 3.5
DFT-s-OFDM 64 QAM,≤ 5,≤ 4.5,≤ 5,≤ 4
DFT-s-OFDM 256 QAM,≤ 6.5,≤ 6,≤ 8,≤ 5
CP-OFDM QPSK,≤ 7,≤ 5.5,≤ 7,≤ 4
CP-OFDM 16 QAM,≤ 7,≤ 5.5,≤ 7,≤ 4
CP-OFDM 64 QAM,≤ 7,≤ 5.5,≤ 7,≤ 4.5
CP-OFDM 256 QAM,≤ 8,≤ 7.5,≤ 8,≤ 6.5
