RB set configuration,Channel bandwidth (Sub-band allocation) / RB Allocation,,,,
,20MHz,40MHz,60MHz,80MHz,100MHz
Contiguous/Non-contiguous,≤17.5,≤14.5,≤14.0,≤14.0,≤14.0
NOTE 1:The A-MPR shall apply to all SCS in all active 20 MHz sub-bands contiguously or non-contiguously allocated in the channel.,,,,,
