RB set configuration,Channel bandwidth (Sub-band allocation) / RB Allocation,,,,,,,,,
,20MHz,,40MHz,,60MHz,,80MHz,,100MHz,
# of S-SSB repetition/RBset,> 2,2,> 2,2,> 2,2,> 2,2,> 2,2
Contiguous/Non-contiguous,≤ 21.0,≤ 24.5,≤ 21.0,≤24.5,≤19.0,≤21.5,≤19.0,≤21.5,≤19.0,≤21.5
NOTE 1:The A-MPR shall apply to all SCS in all active 20 MHz sub-bands contiguously or non-contiguously allocated in the channel.,,,,,,,,,,
