Frequency range(MHz),Channel bandwidth (MHz) /Spectrum emission limit(dBm),Measurement bandwidth
,"5 MHz, 10 MHz, 15 MHz, 20 MHz",
2010  ≤ f ≤ 2025,-50,1 MHz
"NOTE 1:This requirement applies at a frequency offset equal or larger than 5 MHz from the upper edge of the channel bandwidth, whenever these frequencies overlap with the specified frequency band.",,
