NR band,Value of extendedAdditionalSpectrumEmission,,,,,,,
,8,9,10,11,12,13,14,15
n96,NS_66,NS_67,NS_71,,,,,
n102,NS_64,NS_65,NS_68,NS_69,,,,
NOTE:extendedAdditionalSpectrumEmission corresponds to an information element of the name [EXTENDED_ additionalSpectrumEmission] defined in clause 6.3.2 of TS 38.331 [7].,,,,,,,,
