Frequency band(MHz),Channel bandwidth /Spectrum emission limit(dBm),Measurement bandwidth
87.5 ≤ f ≤ 118,-54,100 kHz
174 ≤ f ≤ 230,-54,100 kHz
470 ≤ f ≤ 694,-54,100 kHz
f ≤ 5935,-22,1 MHz
