RB set configuration,Channel bandwidth (Sub-band allocation) / RB Allocation,,
,20MHz,40MHz,80MHz
Contiguous/Non-contiguous sub-band RB sets,≤ 11.0,≤ 12.5,≤ 15.0
NOTE 1:The A-MPR shall apply to all SCS in all active 20 MHz sub-bands contiguously or non-contiguously allocated in the channel.,,,
