RB set configuration,Channel bandwidth (Sub-band allocation) / RB Allocation,,,,,
,20MHz,,40MHz,,80MHz,
# of S-SSB repetition/RBset,> 2,2,> 2,2,> 2,2
Contiguous/ Non-contiguous sub-band RB sets,≤ 11.5,≤ 8.0,≤ 11.5,≤ 8.0,≤12.5,≤10.0
NOTE 1:The A-MPR shall apply to all SCS in all active 20 MHz sub-bands contiguously or non-contiguously allocated in the channel.,,,,,,
