"Channel Bandwidth, MHz","Frequency range of UL channel bandwidth, MHz",Regions,,A-MPR
,,RBstart*12*SCSMHz,LCRB*12*SCSMHz,
25,703~748,>(LCRB*12*SCS)/2+3.6,"≥Max(0, 12*SCS*NRB – 1.8 –  RBstart*12*SCS)",A3
,,≤(LCRB*12*SCS)/2+3.6,≥5.4,A4
,,≤6.3,<5.4,A5
30,703~748,>(LCRB*12*SCS)/2+5.22,"≥Max(0, 12*SCS*NRB – 1.8 –  RBstart*12*SCS)",A3
,,≤(LCRB*12*SCS)/2+5.22,≥5.4,A4
40,703~743.04,≤7.92,<5.4,A5
,,>(LCRB*12*SCS)/2+8.46,"≥Max(0, 12*SCS*NRB – 1.8 –  RBstart*12*SCS)",A3
,,≤(LCRB*12*SCS)/2+8.46,≥5.4,A4
,,≤11.16,<5.4,A5
