ΔfOOB(MHz),Channel bandwidth (MHz) / Spectrum emission limit (dBm),,,,Measurementbandwidth
,3,5,10,15,
± 0 – 0.1,-13,-15,-18,-20,30 kHz
± 0.1 – 1,-13,-13,-13,-13,100 kHz
± 1 – 5,-13,-13,-13,-13,1 MHz
± 5 – 6,-25,-13,-13,-13,1 MHz
± 6 – 10,,-25,,,
± 10 – 15,,,-25,,
± 15 – 20,,,,-25,
