Inter-band CA combination,,"ΔTIB,c for NR bands (dB)1",,,,
,,Component band in order of bands in configuration2,,,,
CA_n1-n3-n7-n28-n38-n78,0.7,0.7,N/A,0.6,N/A,0.8
CA_n1-n3-n7-n40-n78-n105,0.6,0.6,0.6,0.6,0.8,0.6
CA_n1-n3-n20-n41-n71-n78,0.6,0.6,0.8,0.33 / 0.84,0.6,0.8
CA_n1-n5-n7-n40-n78-n105,0.5,0.6,0.6,0.5,0.8,0.6
"NOTE 1:“-” denotes ΔTIB,c = 0.NOTE 2:The component band order in the configuration should be listed by the order of NR bands, such as for CA_n1-n3-n5-n7-n78 the band order from left to right is n1, n3, n5, n7 and n78.",,,,,,
