NR SL concurrent operating band Configuration,NR band,Class1 (dBm),Tolerance (dB),Class2 (dBm),Tolerance (dB),Class3 (dBm),Tolerance (dB),Class4 (dBm),Tolerance (dB),Class5 (dBm),Tolerance (dB)
SL_n78A-n46A,n78,,,,,23,+2/-3,,,,
,n46,,,,,,,,,20,+2/-3
"NOTE 1:For the concurrent band combinations, the simultaneous transmission and reception of sidelink and Uu interfaces can be supported while operation is agnostic of the service used on each interface.NOTE 2:PPowerClass is the maximum output power specified without taking into account the tolerance for each operating band.NOTE 3:For inter-band concurrent operation, the aggregation power apply to the total transmitted power over all component carriers per UE.",,,,,,,,,,,
