Carrier Frequency [MHz],RBStart * 12*SCS [MHz],A-MPR (dB)
5885,≤ 7,≤ 16
,> 7 and ≤ 12,≤ 10.5
,> 12 and ≤ 19,≤ 4.0
,> 19 and ≤ 25,≤ 10.5
,> 25,≤ 16
