NR band,Class 1.5 (dBm),Tolerance (dB),Class 2 (dBm),Tolerance (dB),Class 3 (dBm),Tolerance (dB),Class 5 (dBm),Tolerance (dB)
n1,,,26,+2/-3,23,+2/-3,,
n2,,,26,+2/-3,23,+2/-3,,
n3,,,26,+2/-3,23,+2/-3,,
n5,,,,,23,+2/-3,,
n7,,,26,+2/-3,23,+2/-3,,
n8,,,26,+2/-3,23,+2/-3,,
n13,,,,,23,+2/-3,,
n24,,,,,23,+2/-4,,
n25,,,26,+2/-3,23,+2/-3,,
n26,,,,,23,+2/-3,,
n28,,,26,+2/-3,23,+2/-3,,
n30,,,,,23,+2/-3,,
n34,,,26,+2/-3,23,+2/-3,,
n38,,,,,23,+2/-3,,
n39,,,26,+2/-3,23,+2/-3,,
n40,,,26,+2/-3,23,+2/-3,,
n41,29,+2/-3,26,+2/-3,23,+2/-3,,
n48,,,,,23,+2/-3,,
n66,,,26,+2/-3,23,+2/-3,,
n68,,,,,23,+2/-3,,
n70,,,26,+2/-3,23,+2/-3,,
n71,,,26,+2/-3,23,+2/-3,,
n77,29,+2/-3,26,+2/-3,23,+2/-3,,
n78,29,+2/-3,26,+2/-3,23,+2/-3,,
n79,29,+2/-3,26,+2/-3,23,+2/-3,,
n80,,,26,+2/-3,23,+2/-3,,
n81,,,,,23,+2/-3,,
n83,,,,,23,+2/-3,,
n84,,,26,+2/-3,23,+2/-3,,
n85,,,26,+2/-3,23,+2/-3,,
n86,,,26,+2/-3,23,+2/-3,,
n95,,,26,+2/-3,23,+2/-3,,
n97,,,26,+2/-3,23,+2/-3,,
n98,,,26,+2/-3,23,+2/-3,,
n99,,,,,23,+2/-4,,
n100,,,,,23,+2/-3,,
n101,,,,,23,+2/-3,,
n104,29,+2/-3,26,+2/-3,23,+2/-3,,
n105,,,,,23,+2/-3,,
NOTE 1:The NR band that has Note 3 in Table 6.2.1-1 is allowed to reduce the lower tolerance limit by 1.5 dB when the transmission bandwidths is confined within FUL_low and FUL_low + 4 MHz or FUL_high – 4 MHz and FUL_high.NOTE 2:Power class 3 is the default power class unless otherwise statedNOTE 3:Power class 1.5 is applicable for 2Tx and 4Tx UL-MIMO.,,,,,,,,
