NR CA band,Value of additionalSpectrumEmission,,,,,,,
,0,1,2,3,4,5,6,7
CA_n26,CA_NC_NS_01,CA_NC_NS_100,CA_NC_NS_12,CA_NC_NS_13,CA_NC_NS_14,CA_NC_NS_15,,
CA_n41,CA_NC_NS_01,CA_NC_NS_04,,,,,,
CA_n77,CA_NC_NS_01,CA_NC_NS_55,CA_NC_NS_57,,,,,
NOTE:additionalSpectrumEmission corresponds to an information element of the same name defined in clause 6.3.2 of TS 38.331 [7].,,,,,,,,
