NR SL CA operating bands,Value of additionalSpectrumEmission,,,,,,,
,0,1,2,3,4,5,6,7
SLCA_n47,SLCA_NC_NS_01,SLCA_NC_NS_33,,,,,,
NOTE 1:[additionalSpectrumEmission] corresponds to an information element of the same name defined in clause 6.3.2 of TS 38.331 [7].,,,,,,,,
