Frequency range,Maximum ripple (dB)
FUL_Meas – FUL_Low ≥ 3 MHz and FUL_High – FUL_Meas ≥ 3 MHz(Range 1),4 (p-p)
FUL_Meas – FUL_Low < 3 MHz or FUL_High – FUL_Meas < 3 MHz(Range 2),8 (p-p)
NOTE 1:FUL_Meas refers to the sub-carrier frequency for which the equalizer coefficient is evaluatedNOTE 2:FUL_Low and FUL_High refer to each NR frequency band specified in Table 5.2-1,
