Waveform,[MHz]BWChannel,[MHz]BWalloc,A-MPR [dB]
DFT-s-OFDM,< 40,N/A,0
,40…90,-9.8CBW100MHz2+24.1CBW100MHz-6.3,3.5
,100,,11
OFDM,< 90,N/A,0
,90,6.5,3.5
,100,8,11
