Modulation /Waveform,,A1 (dB),A2 (dB),A3 (dB),A4 (dB),A5 (dB),A6 (dB),A7 (dB),A8 (dB),A9 (dB),A10 (dB)
,,Outer/Inner,Outer/Inner,Outer/Inner,Outer/Inner,Outer/Inner,Outer/Inner,Outer/Inner,Outer/Inner,Outer/Inner,Outer/Inner
DFT-s-OFDM,Pi/2 BPSK,≤ 3.5,≤ 4.5,≤ 3.5,≤ 3.0,≤ 4.5,≤ 4.0,≤ 3.5,≤ 3.5,≤ 4.5,≤ 3.0
,QPSK,≤ 4.0,≤ 5.5,≤ 4.0,≤ 4.0,≤ 5.5,≤ 4.5,≤ 4.0,≤ 4.5,≤ 5.5,≤ 3.5
,16 QAM,≤ 4.5,≤ 6.0,≤ 4.5,≤ 4.5,≤ 6.0,≤ 5.0,≤ 4.5,≤ 4.5,≤ 6.5,≤ 4.0
,64 QAM,≤ 4.5,≤ 6.0,≤ 4.5,≤ 4.5,≤ 6.0,≤ 5.5,≤ 4.5,≤ 5.0,≤ 6.5,≤ 4.0
,256 QAM,≤ 5.5,≤ 6.0,≤ 5.0,≤ 5.0,≤ 6.0,≤ 5.5,≤ 5.5,≤ 5.5,≤ 6.5,≤ 5.0
CP-OFDM,QPSK,≤ 5.5,≤ 6.5,≤ 6.0,≤ 5.5,≤ 7.5,≤ 6.5,≤ 5.5,≤ 5.5,≤ 7.5,≤ 5.0
,16 QAM,≤ 5.5,≤ 6.5,≤ 6.0,≤ 5.5,≤ 7.5,≤ 6.5,≤ 5.5,≤ 5.5,≤ 7.5,≤ 5.0
,64 QAM,≤ 5.5,≤ 6.5,≤ 6.0,≤ 5.5,≤ 7.5,≤ 6.5,≤ 5.5,≤ 5.5,≤ 7.5,≤ 5.0
,256 QAM,≤ 7.5,≤ 7.0,≤ 7.0,≤ 7.0,≤ 7.5,≤ 7.0,≤ 6.5,≤ 7.0,≤ 7.5,≤ 6.5
