,ACLR / Measurement bandwidth
CA ACLR,30 dB
CA Measurement bandwidth for each sub block(NOTE 1),MBWACLR
Adjacent channel centre frequency offset (in MHz),+ BWChannel/- BWChannel
NOTE 1: MBWACLR is the single-channel ACLR measurement bandwidths specified in 6.5.2.4.1.,
