NRband,Class 1 (dBm),Tolerance (dB),Class 2 (dBm),Tolerance (dB),Class 3 (dBm),Tolerance (dB),Class 5 (dBm),Tolerance (dB)
n46,,,,,23,+2/-3,20,+2/-3
n96,,,,,23,+2/-3,20,+2/-3
n102,,,,,23,+2/-3,20,+2/-3
NOTE 1:Power class 5 is default power class unless otherwise stated.,,,,,,,,
