ΔfOOB MHz,Channel bandwidth (MHz) / Spectrum emission limit (dBm),,,,,,Measurementbandwidth
,5,10,15,20,30,40,
,50,60,70,80,90,100,
± 0 - 1,-13,,,,,,1 % channel bandwidth
± 1 - X,-13,,,,,,1 MHz
< – X or > X,-25,,,,,,
NOTE 1:X is occupied channel bandwidth as defined in Table 6.5.1-1.NOTE 2:The requirements apply only at the frequency range from 3540 MHz to 3710 MHz.,,,,,,,
