"Channel Bandwidth, MHz","Carrier Frequency, MHz",Regions,,A-MPR
,,RBstart*12*SCSMHz,LCRB*12*SCSMHz,
5 MHz,782 ≤ Fc ≤ 784.5,≥0,≥ 1.8,A3
5 MHz,779.5 ≤ Fc < 782,≤ 0.9,≥ 0,A1
,,"> 0.9, ≤ 1.26",≥1.26,A2
,,"> 1.26, ≤ 3.42",≥ 1.8,A3
,,>3.42,≤ 0.36,A4
10 MHz,Fc = 782,≤ 2.34,≥ 0,A1
,,">2.34, ≤ 3.24",≥ 1.44,A2
,,"> 3.24, ≤ 6.48",≥ 3.24,A3
,,> 6.48,≤ 0.36,A4
