ΔfOOB MHz,Channel bandwidth (MHz) / Spectrum emission limit (dBm),,Measurement bandwidth
,5,10,
0-1,-13,-13,1 MHz
1-6,-13,-13,1 MHz
6-10,-25,-13,1 MHz
10-15,,-25,1 MHz
