Protected band,,Frequency range (MHz),,,Maximum Level (EIRP2),MBW (MHz),NOTE
Frequency range,5925,,-,5945,-30,1,
Frequency range,5835,,-,5855,-30,1,
NOTE 1:Void.NOTE 2:The EIRP requirement is converted to conducted requirement depend on the supported post antenna connector gain Gpost connector declared by the UE following the principle described in annex I in [11].NOTE 3:Void.,,,,,,,
