Band combination for SUL,"ΔTIB,c for NR bands (dB)1",,,
,Component band in order of bands in configuration2,,,
CA_n1-n3_n78-n80,0.6,0.6,0.8,0.6
CA_n1-n3_n78-n84,0.6,0.6,0.8,0.6
CA_n28-n79_n41-n83,0.3,0.3,0.5,0.3
CA_n28-n41_n79-n83,0.3,0.3,0.5,0.3
CA_n41-n95_n79-n98,0.3,0.8,-,0.3
CA_n41-n98_n79-n95,0.5,0.8,0.5,-
CA_n41-n83_n79-n98,0.3,0.8,0.3,0.3
CA_n41-n83_n79-n95,0.3,0.8,0.3,-
"NOTE 1:“-” denotes ΔTIB,c = 0.NOTE 2:The component band order in the configuration should be listed by the order of NR bands and SUL band, such as for CA_n28-n79_n41-n83 the band order from left to right is n28, n41, n79 and n83.",,,,
