Protected band,Frequency range (MHz),,,Maximum Level (dBm),MBW (MHz),NOTE
Frequency range,2620,-,2645,-15.5,5,"1, 2"
Frequency range,2645,-,2690,-40,1,1
"NOTE 1:This requirement is applicable for carriers confined in 2570-2615 MHz.NOTE 2:For these adjacent bands, the emission limit could imply risk of harmful interference to UE(s) operating in the protected operating band.",,,,,,
