Modulation,,MPR for bandwidth class B(dB),,,MPR for bandwidth class C(dB),,
,,inner,Outer12,Outer23,Inner,Outer12,Outer23
DFT-s-OFDM,Pi/2 BPSK,41,7.5,14,41,8.5,14.5
,QPSK,41,7.5,,41,8.5,
,16QAM,41,7.5,,41,8.5,
,64QAM,6,7.5,,6,8.5,
,256QAM,7.5,8,,7.5,8.5,
CP-OFDM,QPSK,4.51,8,15,4.51,9,15.5
,16QAM,4.51,8,,4.51,9,
,64QAM,6,8,,6,9,
,256QAM,8.5,8.5,,8.5,9,
NOTE 1: the allowed MPR is [4] dB for aggregated allocation bandwidth < [2MHz]. NOTE 2: Outer 1 MPR for Pi/2 BPSK and QPSK is reduced by 2dB for aggregated allocation bandwidth > 10MHz NOTE 3: Outer 2 MPR is reduced by 4.5dB for aggregated allocation bandwidth > 10MHzNOTE 4: UE indicating TxD supported,,,,,,,
