Modulation/Waveform,,A1 (dB),,A2 (dB),A3 (dB),A4 (dB),A5 (dB),A6 (dB)
,,Outer,Inner,Inner/Outer,Outer/Inner,Outer/Inner,Outer/Inner,Outer/Inner
DFT-s-OFDM,Pi/2 BPSK,≤ 3.5,N/A,≤ 8,3.5,10,5,2
,QPSK,≤ 3.5,,≤ 8,4,11,5,3
,16 QAM,≤ 4,,≤ 9,4,11,5.5,4
,64 QAM,≤ 4.5,,≤ 10,4,11,6,4.5
,256 QAM,≤ 6.5,,≤ 11,4,11,6,4.5
CP-OFDM,QPSK,≤ 5.5,,≤ 9.5,5.5,12.5,7,4.5
,16 QAM,≤ 5.5,,≤ 10,5.5,12.5,7,5
,64 QAM,≤ 6,,≤ 11.5,5.5,12.5,7,5
,256 QAM,≤ 9,,≤ 11.5,5.5,12.5,8,6.5
