Frequency range,Parameter,Maximum ripple (dB)
|FUL_Meas – Fcenter| ≤ X MHz(Range 1),X1,6 (p-p)
|FUL_Meas – Fcenter| > X MHz(Range 2),X2,14 (p-p)
"NOTE 1:FUL_Meas refers to the sub-carrier frequency for which the equalizer coefficient is evaluatedNOTE 2:Fcenter refers to the center frequency of an allocated block of PRBsNOTE 3:X, in MHz, is equal to 25% of the bandwidth of the PRB allocationNOTE 4:See Figure 6.4.2.4.1-1 for description of X1, X2",,
