TPC Command Field inDCI format 0/0A/0B/0C/3/4/4A/4B/6-0A/3B/7-0A/7-0B,Accumulated  [dB],Absolute  [dB] only DCI format 0/0A/0B/0C/4/4A/4B/6-0A/7-0A/7-0B
0,-1,-4
1,0,-1
2,1,1
3,3,4
