PB,One Antenna Port,,Two and Four Antenna Ports,
,ρAd,ρBd,ρAd,ρBd
0,1,1,1,5/4
1,1/2,2/5,1/2,1/2
2,1/3,1/5,1/3,1/4
3,1/4,1/10,1/4,1/8
