TDD UL/DLConfiguration,subframe number i,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9
0,-,5,7,7,4,-,5,7,7,4
1,-,6,6,4,-,-,6,6,4,-
2,-,5,4,-,-,-,5,4,-,-
3,-,4,4,4,4,-,-,-,-,-
4,-,4,4,4,-,-,-,-,-,-
5,-,4,4,-,-,-,-,-,-,-
6,-,6,7,7,5,-,6,7,7,-
