topic,rat,spec,release,version_package,inner_files,official_url,zip_size_bytes,sha256
物理层总体描述,LTE,TS 36.201,Rel-19,36201-j00.zip,36201-j00.docx,https://www.3gpp.org/ftp/Specs/archive/36_series/36.201/36201-j00.zip,157083,d1e6a5966d5d01f477bbc3f3ddf7434660c85eeeb83251d10fc47a589d1a8571
物理层总体描述,NR,TS 38.201,Rel-19,38201-j00.zip,38201-j00.doc,https://www.3gpp.org/ftp/Specs/archive/38_series/38.201/38201-j00.zip,114736,06704d6df219cca13c6c955906a52f47cbc3c502c4e7353337e0e34470bdc4b8
PHY 服务,LTE,TS 36.302,Rel-19,36302-j00.zip,36302-j00.docx,https://www.3gpp.org/ftp/Specs/archive/36_series/36.302/36302-j00.zip,2509926,5d9199911dde4520686c407ac7481888a2238b08d16ca2a7b9198742b94911ed
PHY 服务,NR,TS 38.202,Rel-19,38202-j00.zip,38202-j00.docx,https://www.3gpp.org/ftp/Specs/archive/38_series/38.202/38202-j00.zip,1029341,b1dc198e58492eb64024483ae9eafc99009168d42c544bde5207bf8e09dfeea9
物理信道与调制,LTE,TS 36.211,Rel-19,36211-j30.zip,36211-j30_cover.docx; 36211-j30_s00-s05.docx; 36211-j30_s06-s08.docx; 36211-j30_s09-sxx.docx,https://www.3gpp.org/ftp/Specs/archive/36_series/36.211/36211-j30.zip,7629041,c1b132375361596e713dc51bfa20afbe4bf4c92bf1992c829a775f59a2ece5a1
物理信道与调制,NR,TS 38.211,Rel-19,38211-j30.zip,38211-j30.docx,https://www.3gpp.org/ftp/Specs/archive/38_series/38.211/38211-j30.zip,1251970,c80b516b987b4732f8dbd9e783e4071059f2396048c206dbd05a3da60b275f47
复用与信道编码,LTE,TS 36.212,Rel-19,36212-j30.zip,36212-j30.docx,https://www.3gpp.org/ftp/Specs/archive/36_series/36.212/36212-j30.zip,1420921,06a40a3b3214d372b0a6008ee1c885cd025ed30aef6399c9ea76a1d4593a1450
复用与信道编码,NR,TS 38.212,Rel-19,38212-j30.zip,38212-j30.docx,https://www.3gpp.org/ftp/Specs/archive/38_series/38.212/38212-j30.zip,2111728,89275220eabea854a4aff5e0982cc78be830edb31a6a637abc99c17812a4d443
物理层过程,LTE,TS 36.213,Rel-19,36213-j30.zip,36213-j30_cover.docx; 36213-j30_s00-s05.docx; 36213-j30_s06-s07.docx; 36213-j30_s08-s09.docx; 36213-j30_s10-s13.docx; 36213-j30_s14-xx.docx; 36213-j30_sAnnexes.docx,https://www.3gpp.org/ftp/Specs/archive/36_series/36.213/36213-j30.zip,4596044,16d461903a2f614620532e74ffff28867ac7d53212918964923c3b844ac093c8
物理层过程,NR,TS 38.213,Rel-19,38213-j30.zip,38213-j30.docx,https://www.3gpp.org/ftp/Specs/archive/38_series/38.213/38213-j30.zip,1332589,25e29ce93e6f87b64927b8be0837601eee5068f6d5912678bccd8cfdb985dcb9
物理层过程,NR,TS 38.214,Rel-19,38214-j30.zip,38214-j30.docx,https://www.3gpp.org/ftp/Specs/archive/38_series/38.214/38214-j30.zip,3147069,a8f929709cbf5dd4a2b1941eb29c0978ed680a7e830d333174306945a805cdda
物理层测量,LTE,TS 36.214,Rel-19,36214-j00.zip,36214-j00.docx,https://www.3gpp.org/ftp/Specs/archive/36_series/36.214/36214-j00.zip,139391,d40edb171ea3784c1f4be02709b219a20b11c7afc790dbb260bd3669df1f6408
物理层测量,NR,TS 38.215,Rel-19,38215-j20.zip,38215-j20.docx,https://www.3gpp.org/ftp/Specs/archive/38_series/38.215/38215-j20.zip,186967,8c0a2a7bec42a165e344442ad884f392c2d59fd45f283db5f2ae88d3db9076a6
