Configuration,Description
1,"15 kHz SSB SCS, 10 MHz bandwidth, TDD duplex mode for NR PCell and FDD duplex mode for NR SCell"
2,"15 kHz SSB SCS, 10 MHz bandwidth, TDD duplex mode for NR PCell and TDD duplex mode for NR SCell"
3,"30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex mode for NR PCell and TDD duplex mode for NR SCell"
NOTE 1:The UE is only required to be tested in one of the supported test configurations. NOTE 2:Test configuration for NR PCell and NR SCell are chosen independently.,
