Config,Description
1,"NR 15 kHz SSB SCS, 10 MHz bandwidth, FDD duplex mode"
2,"NR 15 kHz SSB SCS, 10 MHz bandwidth, TDD duplex mode"
3,"NR 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex mode"
NOTE 1:The UE is only required to be tested in one of the supported test configurations.NOTE 2:A UE which fulfils the requirements in test case A.19.4.3.1.1 can skip the test cases in A.19.4.3.1.1.,
