Parameter,Unit,Value,Comment
RF Channel Number,,"1,2","Two NR radio channel (1, 2) are used for this test"
Active PCell,,Cell 1,Primary cell on NR RF channel number 1
Configured SCell,,Cell 2,Activated secondary cell on NR RF channel number 2
CP length,,Normal,
DRX,,OFF,Continuous monitoring of primary cell
Cell 2 timing offset to cell1,s,0,
Time alignment error between cell2 and cell1,s,Time alignment error as specified in TS 38.104 [13] clause 6.5.3.1.,The value of time alignment error depends upon the type of carrier aggregation.
T1,s,5,
T2,ms,40,UE shall perform SRS antenna switching during T2
