Parameter,Test configuration,Unit,Cell 1,,Cell 2,
,,,T1,T2,T1,T2
Satellite information,"Config 1,2",,SSC.2,,NSC.2,
Koffset,"Config 1,2",ms,4,,4,
Antenna Configuration,1Rx,,1x1,,,
