Parameter,,Unit,Test configuration,Value,Comment
,,,,,
Initial condition,Active cell,,1-12,Cell 1,
T2 end condition,Active cell,,1-12,Cell 2,
,Neighbour cells,,1-12,Cell 1,
RF Channel Number,,,1-12,"1,2",Cell 1 is on RF channel 1Cell 2 is on RF channel 2
Time offset between cells,,,1-12,3 ms,Asynchronous cells
Access Barring Information,,-,1-12,Not Sent,No additional delays in random access procedure.
SSB configuration,,,1-12,SSB.1 FR1,
SMTC configuration,,,1-12,SMTC.6,Configured in SIB4 for Cell 1 and Cell 2
DRX cycle length,,s,1-12,1.28,The value shall be used for all cells in the test.
PRACH configuration index,,,1-12,102,The detailed configuration is specified in TS 38.211 [6] clause 6.3.3.2
rangeToBestCell,,,1-12,Not configured,
Ephemeris information,,,1-12,Note 1,The detailed configuration is specified in SIB19
T1,,s,1-12,>7,"During T1, Cell 2 shall be powered off, and during the off time the physical cell identity shall be changed, The intention is to ensure that Cell 2 has not been detected by the UE prior to the start of period T2"
T2,,s,1-12,70,T2 needs to be defined so that cell re-selection reaction time is taken into account.
Note 1:Detailed ephemeris information is provided in TS 38.508-1 [38],,,,,
