Parameter,Test configuration,Unit,Test 1,,Test 2,
,,,Cell 1,Cell 2,Cell 1,Cell 2
Propagation Condition,"Config 1,2",-,AWGN+220 Hz,,AWGN+220 Hz,
,Config 3,-,AWGN+500 Hz,,AWGN+500 Hz,
