Parameter,,Unit,Value,Comment
,,,Test 1,
NTN reference Serving satellite configuration,"Config 1, 3",,SSC.1,
,"Config 2, 4",,SSC.2,
Duplex mode,"Config 1, 2",,FDD,
,"Config 3, 4",,HD-FDD,
Dedicated CORESET Reference Channel,"Config 1, 2, 3, 4",,CCR.3.2 FDD,
Correlation Matrix and Antenna Configuration,,,2x1 Low,
Beam failure detection transmission parameters,Aggregation level,CCE,16,
T3,,s,12.24,
