Bit field mapped to index,Message
0,4 layers: Transmit diversity
1,1 layer: TPMI=0
2,1 layer: TPMI=1
,
16,1 layer: TPMI=15
17,1 layer: Precoding according to the latest PMI report on PUSCH using the precoder(s) indicated by the reported PMI(s)
18,2 layers: TPMI=0
19,2 layers: TPMI=1
,
33,2 layers: TPMI=15
34,2 layers: Precoding according to the latest PMI report on PUSCH using the precoder(s) indicated by the reported PMI(s)
35,3 layers: TPMI=0
36,3 layers: TPMI=1
,
50,3 layers: TPMI=15
51,3 layers: Precoding according to the latest PMI report on PUSCH using the precoder(s) indicated by the reported PMI(s)
52,4 layers: TPMI=0
53,4 layers: TPMI=1
,
62,4 layers: TPMI=10
63,4 layers: Precoding according to the latest PMI report on PUSCH using the precoder(s) indicated by the reported PMI(s)
