Number of bits,
4,"For UEs configured by higher layers with codebooksizeDetermination-r13 = dai and when a DCI format 1/1A/1B/1D/2/2A/2B/2C/2D/6-1A scheduling PDSCH is mapped onto the UE specific search space given by the C-RNTI as defined in [3], or UEs configured by higher layers with codebooksizeDeterminationSTTI = dai and when a DCI format 7-1A/7-1B/7-1C/7-1D/7-1E/7-1F/7-1G scheduling PDSCH is mapped onto the UE specific search space given by the C-RNTI as defined in [3], the 4-bit DAI consists of a 2-bit counter DAI and a 2-bit total DAI. -Counter DAI – 2 bits as defined in clause 7.3 of [3]-Total DAI – 2 bits as defined in clause 7.3 of [3]"
2,"For UEs not configured with codebooksizeDetermination-r13 = dai and codebooksizeDeterminationSTTI-r15=dai, or for UEs configured by higher layers with codebooksizeDetermination-r13 = dai and when a DCI format scheduling PDSCH is not mapped onto the UE specific search space given by the C-RNTI as defined in [3], this field is present for FDD or TDD operation, for cases with TDD primary cell.If the UL/DL configuration of all TDD serving cells is same and the UE is not configured to decode PDCCH with CRC scrambled by eimta-RNTI, then this field only applies to serving cell with UL/DL configuration 1-6.If at least two TDD serving cells have different UL/DL configurations or the UE is configured to decode PDCCH with CRC scrambled by eimta-RNTI, then this field applies to a serving cell with DL-reference UL/DL configuration 1-6 as defined in clause 10.2 of [3].For UEs configured with EN-DC/NE-DC with FDD primary cell and higher layer parameter tdm-PatternConfig/tdm-PatternConfigNE-DC/tdm-PatternConfig2 and a DCI format scheduling PDSCH is mapped onto the UE specific search space given by the C-RNTI as defined in [3], this field is present."
0,"For UEs not configured with codebooksizeDetermination-r13 = dai and codebooksizeDeterminationSTTI-r15=dai and not configured with EN-DC/NE-DC and higher layer parameter tdm-PatternConfig/tdm-PatternConfigNE-DC/tdm-PatternConfig2, or for UEs configured by higher layers with codebooksizeDetermination-r13 = dai and when a DCI format scheduling PDSCH is not mapped onto the UE specific search space given by the C-RNTI as defined in [3], this field is not present for FDD or TDD operation, for cases with FDD primary cell.For UEs configured with EN-DC/NE-DC with FDD primary cell and higher layer parameter tdm-PatternConfig/tdm-PatternConfigNE-DC/tdm-PatternConfig2 and a DCI format scheduling PDSCH is not mapped onto the UE specific search space given by the C-RNTI as defined in [3], this field is not present."
