Bit field mapped to index,Message
0,2 layers: Transmit diversity
1,1 layer: Precoding corresponding to precoding vector
2,1 layer: Precoding corresponding to precoder vector
3,1 layer: Precoding corresponding to precoder vector
4,1 layer: Precoding corresponding to precoder vector
5,"1 layer: Precoding according to the latest PMI report on PUSCH, using the precoder(s) indicated by the reported PMI(s),if RI=2 was reported, using 1st column multiplied by of all precoders implied by the reported PMI(s)"
6,"1 layer:Precoding according to the latest PMI report on PUSCH, using the precoder(s) indicated by the reported PMI(s),if RI=2 was reported, using 2nd column multiplied by of all precoders implied by the reported PMI(s)"
7,2 layers: Precoding corresponding to precoder matrix
8,2 layers: Precoding corresponding to precoder matrix
9,"2 layers: Precoding according to the latest PMI report on PUSCH, using the precoder(s) indicated by the reported PMI(s)"
10~15,reserved
