"One Codeword:Codeword 0 enabled,Codeword 1 disabled",,"Two Codewords:Codeword 0 enabled,Codeword 1 enabled",
Value,Message,Value,Message
0,"1 layer, port 7, nSCID=0",0,"2 layers, ports 7-8, nSCID=0"
1,"1 layer, port 7, nSCID=1",1,"2 layers, ports 7-8, nSCID=1"
2,"1 layer, port 8, nSCID=0",2,"3 layers, ports 7-9"
3,"1 layer, port 8, nSCID=1",3,"4 layers, ports 7-10"
4,"2 layers, ports 7-8",4,"5 layers, ports 7-11"
5,"3 layers, ports 7-9",5,"6 layers, ports 7-12"
6,"4 layers, ports 7-10",6,"7 layers, ports 7-13"
7,Reserved,7,"8 layers, ports 7-14"
