CP Configuration,PUSCH Starting Position,Column Set
Normal,"At symbol 0, or at symbol 7","{1, 4, 7, 10}"
,"Within symbol 0, or at symbol 1, or within symbol 7, or at symbol 8","{0, 3 ,6, 9}"
