Value,Message
0,"1 layer, port 7, nSCID=0"
1,"1 layer, port 7, nSCID=1"
2,"1 layer, port 8, nSCID=0"
3,"1 layer, port 8, nSCID=1"
4,"2 layers, ports 7-8, nSCID=0"
5,"2 layers, ports 7-8, nSCID=1"
6,"2 layers, transmit diversityports 7-8, nSCID=0"
7,"2 layers, transmit diversityports 7-8, nSCID=1"
