TrCH,Coding scheme,Coding rate
UL-SCH,Turbo coding,1/3
DL-SCH,,
PCH,,
MCH,,
SL-SCH,,
SL-DCH,,
BCH,Tail biting convolutional coding,1/3
SL-BCH,,
