",",RI (CRI = 0 or 1),"{RI0, RI1} (CRI = 2)"
"0, 0",1,"{1,1}"
"0, 1",2,"{1,2}"
"1, 0",3,"{2,1}"
"1, 1",4,"{2,2}"
