", , ,",RI (CRI = 0 or 1),"{RI0, RI1} (CRI = 2)"
"0, 0, 0, 0",1,"{1,1}"
"0, 0, 0, 1",2,"{1,2}"
"0, 0, 1, 0",3,"{2,1}"
"0, 0, 1, 1",4,"{2,2}"
"0, 1, 0, 0",5,"{2,3}"
"0, 1, 0, 1",6,"{3,2}"
"0, 1, 1, 0",7,"{3,3}"
"0, 1, 1, 1",8,"{3,4}"
"1, 0, 0, 0",reserved,"{4,3}"
"1, 0, 0, 1",reserved,"{4,4}"
"1, 0, 1, 0",reserved,reserved
"1, 0, 1, 1",reserved,reserved
"1, 1, 0, 0",reserved,reserved
"1, 1, 0, 1",reserved,reserved
"1, 1, 1, 0",reserved,reserved
"1, 1, 1, 1",reserved,reserved
