Option,Description
0,2 BL/CE DL subframes
1,1 BL/CE DL subframe + 1 subframe + 3 BL/CE UL subframes + 1 subframe + 1 BL/CE DL subframe
2,1 subframe + 3 BL/CE UL subframes + 1 subframe + 2 BL/CE DL subframes
