Parameter,Unit,Value,Comment
E-UTRA RF Channel Number,-,"2, 3",TDD carrier in Band 47
Channel Bandwidth (BWchannel),MHz,10,
V2X sidelink Communication configuration,-,As specified in Table A.3.24.2-2 (Configuration #2),IE values unless specified otherwise in this test.
