Parameter,E-UTRA operating band groups Note 3,Minimum CSI-RSRP Note 1,MinimumSCH_RP Note 1,CSI-RS Ês/Iot,SCH Ês/Iot
,,dBm/15kHz,dBm/15kHz,dB,dB
Conditions,"FDD_A, TDD_A",-121,-127,0,-6
,"FDD_B1, FDD_B2",-120.5,-126.5,,
,"FDD_C, TDD_C",-120,-126,,
,FDD_D,-119.5,-125.5,,
,"FDD_E, TDD_E",-119,-125,,
,FDD_F,-118.5 Note 2,-124.5 Note 2,,
,FDD_G,-118,-124,,
,FDD_H,-117.5,-123.5,,
,FDD_N,-114.5,-120.5,,
"NOTE 1:This condition level is increased by ∆>0, when applicable, as described in Sections B.4.2 and B.4.3.NOTE 2:The condition is -123 dBm/15kHz when the carrier frequency of the assigned E-UTRA channel bandwidth is within 865-894 MHz.NOTE 3:E-UTRA operating band groups are as defined in Section 3.5.",,,,,
