Parameter,Unit,Test 1,,,
,,T1,,T2,
BWchannel,kHz,200,,,
NPDCCH parameter,,R.30 HD-FDD,,,
NPDCCH repetition Note4,,4,,,
NPBCH_RB,dB,0,,,
NPSS_RA,dB,,,,
NSSS_RA,dB,,,,
NPDCCH_RA,dB,,,,
NPDCCH_RB,dB,,,,
NPDSCH_RA,dB,,,,
NPDSCH_RB,dB,,,,
OCNG_RANote1,dB,,,,
OCNG_RBNote1,dB,,,,
Note2,dBm/15 kHz,-98,,,
NRS,dB,"Config 1, Config 2",-6,"Config 1, Config 2",-6
,,Config 3,-1,Config 3,-1
Propagation condition,,AWGN,,,
Antenna Configuration,,1x1,,,
Channel quality IE Note3,,CQI-NPDCCH-NB,,,
Note 1:OCNG shall be used such that active cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Interference from other cells and noise sources not specified in the test are assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 3:See TS 36.331 [2].Note 4:The NPDCCH repetition level shall be adjusted during T2 based on the DL channel quality report so that the requirements in Table 9.1.22A.8-1 can be verified.,,,,,
